,precision,recall,f1-score,support
target_proc_1036,0.19342359767891681,1.0,0.3241491085899514,300.0
target_proc_1048,0.0,0.0,0.0,80.0
target_proc_1215,0.0,0.0,0.0,52.0
target_proc_1285,0.0,0.0,0.0,147.0
target_proc_1287,0.0,0.0,0.0,151.0
target_proc_1316,0.0,0.0,0.0,236.0
target_proc_1368,0.24758220502901354,1.0,0.39689922480620154,384.0
target_proc_1369,0.40038684719535783,1.0,0.5718232044198895,621.0
target_proc_1575,0.0,0.0,0.0,256.0
target_proc_1634,0.0,0.0,0.0,133.0
target_proc_1709,0.17279174725983237,1.0,0.29466739967014843,268.0
target_proc_1717,0.0,0.0,0.0,279.0
target_proc_1721,0.0,0.0,0.0,186.0
target_proc_17587,0.0,0.0,0.0,202.0
target_proc_17678,0.0,0.0,0.0,94.0
target_proc_1826,0.0,0.0,0.0,92.0
target_proc_189214,0.0,0.0,0.0,121.0
target_proc_189239,0.0,0.0,0.0,159.0
target_proc_1944,0.0,0.0,0.0,138.0
target_proc_198428,0.0,0.0,0.0,215.0
target_proc_2215,0.0,0.0,0.0,163.0
target_proc_2220,0.27079303675048355,1.0,0.426179604261796,420.0
target_proc_2261,0.1038039974210187,1.0,0.18808411214953272,161.0
target_proc_2263,0.16376531270148292,1.0,0.2814404432132964,254.0
target_proc_2295,0.24500322372662797,1.0,0.3935784567581564,380.0
target_proc_2349,0.0,0.0,0.0,117.0
target_proc_2470,0.0,0.0,0.0,118.0
target_proc_2471,0.0,0.0,0.0,97.0
target_proc_2637,0.0,0.0,0.0,177.0
target_proc_310,0.0,0.0,0.0,120.0
target_proc_337,0.0,0.0,0.0,81.0
target_proc_34370,0.0,0.0,0.0,253.0
target_proc_34496,0.0,0.0,0.0,129.0
target_proc_34504,0.0,0.0,0.0,100.0
target_proc_34506,0.0,0.0,0.0,63.0
target_proc_34544,0.0,0.0,0.0,117.0
target_proc_37225,0.0,0.0,0.0,203.0
target_proc_391410,0.0,0.0,0.0,129.0
target_proc_415338,0.0,0.0,0.0,121.0
target_proc_464825,0.0,0.0,0.0,108.0
target_proc_474,0.1831076724693746,1.0,0.30953678474114443,284.0
target_proc_482552,0.0,0.0,0.0,74.0
target_proc_639,0.0,0.0,0.0,32.0
target_proc_787,0.2379110251450677,1.0,0.38437499999999997,369.0
target_proc_832,0.0,0.0,0.0,156.0
target_proc_900,0.0,0.0,0.0,62.0
micro avg,0.2218568665377176,0.40954534634610806,0.28780528604884575,8402.0
macro avg,0.048229753595156,0.21739130434782608,0.07762463779587211,8402.0
weighted avg,0.10152129815887682,0.40954534634610806,0.15993722825704698,8402.0
samples avg,0.2218568665377176,0.3145643793698005,0.22271710037140796,8402.0
